text,created_date,rubrics
"Сделай так, чтобы получить то, что ты хочешь, иначе тебе придётся любить то, что ты имеешь.",2019-03-28 07:12:08,"['VK-1603736028819866', 'VK-11668415250', 'VK-32328763741']"
"Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.",2019-03-27 07:12:07,"['VK-1603736028819866', 'VK-94673807194', 'VK-43736583970']"
"Здарова народ,  хочу преобрести вито 2.8 бензин,  2000 года,  посоветуйте подалуста,  что лучше  2.3 или 2.8 и какие +/- в этих машинах,  сам на данный момен езжу на мазда мпв 2001 года",2019-03-26 20:08:11,"['VK-1603736028819866', 'VK-41693206282', 'VK-86817946628']"
"Владимир Высоцкий очень любил автомобили и быструю езду. Поэтому очень часто он попадал в аварии с печальными для машин последствиями. Водить знаменитый артист начал, когда ему практически исполнилось 30 лет. Но сразу же полюбил это занятие.

#музыка@motor",2019-03-24 19:12:08,"['VK-1603736028819866', 'VK-30808204718', 'VK-55068195891']"
"Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.",2019-03-24 07:12:08,"['VK-1603736028819866', 'VK-17894242509', 'VK-16610779282']"
"Порой жизнь недвусмысленно даёт вам понять, что управлять ею — у вас кишка тонка.",2019-03-23 07:18:39,"['VK-1603736028819866', 'VK-45786578236', 'VK-73097901474']"
"Всем привет! Помогите пожалуйста. Мерседес Вито 638 2.2cdi
Педаль сцепления при выжиме остаётся внизу только когда включаешь передачу, а на нейтралке нажимается и спокойно возвращается назад. Куда копать?",2019-03-22 19:06:27,"['VK-1603736028819866', 'VK-70418182801', 'VK-57620613429']"
"❗Мужские шапки - показатель стиля, оригинальности. В наличии 5000+ моделей высокого качества недорого и под любой стиль. Наши цены 30-40% ниже, чем в обычных магазинах ✔ проверенный продавец! 

➡ Высокое качество изделий. 
➡ Доступные цены: от 600 руб.
➡ Идеальны для автолюбителей и деловых мужчин. 
➡ Популярные бренды: Adidas, Calvin Klein, Hugo Boss, Nike, Roberto Cavalli, Tom Tailor, Wrangler.

👉 Крупнейшая коллекция здесь - https://vk.cc/7GwGA5",2019-03-22 03:00:01,"['VK-1603736028819866', 'VK-87802206978', 'VK-62424055692']"
"Добрый вечер. Помогите пожалуйста,не знаю уже что делать. Менял термостат и радиатор на Мерседес Вито 2,3 дизель 1997 года, и снял провода с генератора. После всей сборки и постановки всех комплектующих на место, замети,что на приборке при неповернутом ключе зажигания работает указатель уровня топлива, а когда поворачиваешь ключ- то горит только АБС и накал.Что делать? Заранее спасибо!",2019-03-18 19:48:38,"['VK-1603736028819866', 'VK-72665498809', 'VK-41764005486']"
"Если у человека изменилось мировоззрение, то непроизвольно меняется и поведение, и характер. А если изменился характер, то меняется и судьба. Мысль рождает поступок, поступок – привычку, привычка – характер, характер – судьбу.",2019-03-13 19:18:17,"['VK-1603736028819866', 'VK-85315807290', 'VK-69388920150']"
"Главные вещи - это совсем не бабки, не твое положение, не те дающие самки, не дачи, не хаты, не наркотиков горы, а те люди, ради кого ты свернешь горы.",2019-03-12 07:12:08,"['VK-1603736028819866', 'VK-59398833276', 'VK-65202762311']"
"Mercedes-Benz 300 SL w198 
 
Мотор: 240л.с. 3л. 
Масса: 1310кг. 
Разгон 0-100 км.ч.: 7,2с. 
Макс. скор.: 260км.ч. 
Цена: 600 000 $",2019-03-01 07:12:11,"['VK-1603736028819866', 'VK-38428910237', 'VK-84755955422']"
"● [club53090858|Mercedes-Benz] 
● [club32210234|Ferrari] 
● [club92964646|Rolls-Royce]",2019-02-13 07:12:07,"['VK-1603736028819866', 'VK-23676418879', 'VK-58227291694']"
"Нет недостижимых целей, есть высокий коэффициент лени, недостаток смекалки и запас отговорок.",2019-02-12 07:12:05,"['VK-1603736028819866', 'VK-51466612838', 'VK-68321770642']"
"Подходящее время может вообще никогда не наступить. Если вы действительно хотите сделать что-то, забудьте о времени и просто cделайте это.",2019-02-11 07:12:08,"['VK-1603736028819866', 'VK-96946433519', 'VK-88478585361']"
"Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.",2019-02-09 07:12:17,"['VK-1603736028819866', 'VK-63945554870', 'VK-19589318823']"
"Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.",2019-02-01 19:12:07,"['VK-1603736028819866', 'VK-39437915831', 'VK-15483754639']"
"Такой вопрос. Спринтер 2006 г. 2,2 мотор, 311. Поменял масло, залил синтетику 5 w 40. Проехал 5 км и начала мигать лампочка жёлтая на масло. Остановился проверил уровень, всё в норме, завёл перестала мигать проехал ещё пару км и снова замигала, через минут 5 сама перестала. Может кто сталкивался?",2019-01-31 20:53:09,"['VK-1603736028819866', 'VK-55589353327', 'VK-45954053487']"
Мерседес спрингер класик 311 автобус один с пятиступкой другой с шестиступкой какой лучше?,2019-01-29 20:29:56,"['VK-1603736028819866', 'VK-34740650846', 'VK-95893932115']"
"Доброго времени суток !
Нужна помощь !
У меня Вито 639 кузов 111 модификации.
Проблема такова , на приборе постоянно  показывать наружная температура +34 , и бывает прыгает туда-сюда.
Снял бампер и датчика на своем месте не нашел , я так понимаю он где-то оборван ... Может кто-то знает распиновку проводов , которые подходят к  датчику или цвет и где их вообще искать",2019-01-23 20:52:37,"['VK-1603736028819866', 'VK-42294619173', 'VK-49672037643']"
"Mercedes-Benz Concept IAA 
 
Мотор: 279л.с. 2л. 
Масса: 1800кг. 
Разгон 0-100 км.ч.: 5,5с. 
Максимальная скорость: 250км.ч.",2019-01-19 07:12:09,"['VK-1603736028819866', 'VK-18430707560', 'VK-96155962748']"
Победа не дает силу – силу дает борьба. Если ты борешься и не сдаешься – это и есть сила.,2019-01-13 19:12:13,"['VK-1603736028819866', 'VK-47060416331', 'VK-29279989247']"
"Мужики всем привет, подскажите пожалуйста где посмотреть коды ошибок на мерседес виано год 2008, мотор 2.2 150 кобыл",2019-01-09 20:55:44,"['VK-1603736028819866', 'VK-88413115730', 'VK-69103370657']"
"Мужики скажите, с ключа не открывается центральный замок. Батарейка норм, предохранитель в порядке. Замки все работают. Что может быть? 638",2019-01-03 19:46:28,"['VK-1603736028819866', 'VK-55787334987', 'VK-35076531029']"
"Вот и настал 2020, не буду многословен и просто хочу сказать что 2019 был довольно продуктивный, ибо в жизни случилось много нового и хорошего. Пусть каждый кто читает это, избавится от лени и встречает новый день, новыми мыслями, а так же мечтами. Я верю, что этот день особенный, потому что заряжаю свои мысли сам, ставя для себя новые цели. Стремитесь, добивайтесь, и любите. ❤️🙏",2019-12-31 18:00:08,"['VK-1603736028819866', 'VK-53518190544', 'VK-96357693758']"
"анон ♡
ищу девушку/парня~
p.s. я тоже тян (◍•ᴗ•◍)✧*。

♡о себе♡

~#UoYH16
~ пансексуал 
~ рост 165
~ я очень открытый человек 
~ люблю разговаривать , так что пожалуйста будьте тоже общительными :з
~ не люблю когда оскарбляют людей :с
~ раньше увлекалась аниме 
~ когда то веду себя как ребенок ✧◝(⁰▿⁰)◜✧
~ будет хорошо если вы как и я будете искренними и уважать мнение/личные качества каждого человека (｡･ω･｡)ﾉ♡

♡о тебе♡

~#UoYW15_17
~ насчёт роста 
175 (если ты парень)
170 (если ты девушка)
~ азиатская внешность (девушкам не обязательно)
~ люблю ухоженную внешность
~ обожаю милых парней которые смущаются пхпаапргр
~ буду рада если ты не будешь против при встречах скиншипа и совместных милых фоток ㅋㅋㅋㅋ
~ будьте искренними, жизнерадостными и цените каждые моменты !

можете оставить в комментариях ""+"" и я вам напишу~

p.s.2. админ меня наверное уже запомнил после стольких попыток пхпапх , спасибо за ваше терпениеㅋㅋ(っ.❛ ᴗ ❛.)っ*.✧
____
Admin: Даа, помню :3",2019-12-31 13:25:00,"['VK-1603736028819866', 'VK-73993601368', 'VK-38625555140']"
"прошу опубликовать анонимно, иначе, мое хиккаподобное существо, войдет в отчаянное положение 
согласитесь, как то глупо искать людей в интернете, да, не сомневаюсь что много кто находят/дружат, мб более что то масштабное, но все же, если ваше представление о человеке окажется не самым удачным, само собой, это -мораль, что частенько и происходит.
описывать, себя в общих чертах, конечно же глупо, но попытаюсь, конечно же без цинизма, ну и попытаюсь добавить кусочек самокритики, как же без этого:₽
уже как год>прошло с того момента, как стал совершеннолетним , ростом под ~175, существуя эти 17 лет, осознанно пытаюсь побороть свой главный минус, добротное отношение ко всем(в реальной же жизни, а в вк ну, токсичничаю частенько, мб из за того, как подобает плохим мальчикам), ненавижу всяких челов что любят покорять какую то вершину популярности, собирая друзей/ подписчиков/гуляя в компашках, хождением в хаты, заведения, которые, не подобают воспитанным девочкам(нет, я не говорю что вы, не должны никуда выходить, хаты/выпивка лоу)
уверен, многие мб будут комментировать сей запись, видя меня как чела, ищущего идеальную девочку, в чем то вы правы. 
глупо, искать сразу же свою пару, думаю стоит начинать с дружбы. 
данный текст пишу без рофлов, в какои то смысле, даже аморал, по отношению к тем же «злым» чувакам.",2019-12-31 12:25:00,"['VK-1603736028819866', 'VK-12369141112', 'VK-50792326747']"
"Анонимно 
Дарова работяги 
Ищу девушку мб просто подругу 
#UoY15-16
Красивую 
Высокую 
Мб даже пошлую
Казашку  
О себе рассказать могу только в лс
)) 
Ставьте «+» я сам потом выберу",2019-12-31 11:25:00,"['VK-1603736028819866', 'VK-50862027655', 'VK-40135857566']"
"С наступающим админ , опубликуй пожалуйста)
Анон 
Привет)
Не знаю что меня сподвигло написать сюда.. Наверное одиночество в большей степени. 
Не люблю жаловаться, но да, сейчас не самый лёгкий период моей жизни. 
Хочу начать с того, что я представитель нетрадиционной ориентации - что очень очень печально для меня. 
Мне 16 лет и соответсвенно я хочу что бы ты была не младше меня. 
Возможно я покажусь ужасным человеком- скорее всего так и есть , но я очень сильно смотрю на внешность извини. И соответственно я считаю себя довольно привлекательной, но судить тебе.
Мне очень важно что бы ты была собой в моем окружении , и что бы с тобой было о чем поговорить. 
Ну на этом все😬
(Блин как там эти хештеги писать я забыла емае вроде #UoY16 (?))
Спасибо админ",2019-12-31 10:29:00,"['VK-1603736028819866', 'VK-12226415716', 'VK-38169460183']"
"Анон 
Я пишу первый раз.. 
Админу гелик 

Мне 13 годиков,  да я малолетка но пофиг.  Ищу таких же немного одбитых людей.  Пол не важен. 

О себе
 рост 163
Общительный 
Чуть чуть отбитый 
 Остальное лс (Желательно девочка )
Админ пропусти плииз",2019-12-31 09:30:00,"['VK-1603736028819866', 'VK-77449069467', 'VK-32758432148']"
"Админ лучший!)
Ищу девушку 15-16 лет по критериям весёлая, умная,пошленькая по своему, фигура 90 60 90 (не обязательно), ростом ниже или выше разницы большей нету😹
 
О себе казах, учусь в 10 классе если что на русской основе рост 171,если вес так важен 63,увлекаюсь спортом а именно борьба занимаюсь уже на протяжении 4 лет+,есть кмс ну а так все если захочешь познакомится + ну или я твоя😹❤",2019-12-31 09:29:00,"['VK-1603736028819866', 'VK-43599341860', 'VK-98983040465']"
"Анон.
Всем привет,я ищу новые знакомства,так же девушку)
(Я сама девушка)
Рост,вес думаю не важны,я учусь в 9 классе.
Люблю смотреть фильмы,гулять,спортсменка.
(Я не против курения и т.п)
Обожаю слушать музыку,в общем,думаю ты все узнаешь при общении. Главное будьте настоящими ❤️",2019-12-31 08:27:00,"['VK-1603736028819866', 'VK-25606645194', 'VK-43476033261']"
"Админу здоровье родным💪
Сегодня во дворце школьников в новом была дискотека, там была 70 шк
И короче понравилась одна девочка она приглосила меня на медляк😂
Мне было ужасно не ловко😃
Я тот самый мальчик который танцевал как бешенный🤣🤣
Я был ещё с друзьями
Сам я не с 70 шк просто проходил мимо этой дискотеки и решил пробраться по танцевать😎
Анон.",2019-12-31 08:25:00,"['VK-1603736028819866', 'VK-35293761171', 'VK-85044060199']"
"Привет админ
Анон
Ищу девушку
О тебе: 
желательно лет 15-17
Добрая 
Отзывчивая
Общительная
Красивая
О себе: 
17 лет
Рост 162
Учусь в 11 классе 
Остальное в лс",2019-12-31 07:31:00,"['VK-1603736028819866', 'VK-54108909928', 'VK-58378885215']"
"Хей , я мужского пола)
решился написать)
Меня звать-Алим 
Метис 
И мне 16
Рост вроде 175
Об остальном в лс)
О тебе:
14-16
Казашка,метиска 
Рост желательно маленького роста)
дауайте «+» жду в коментах 
Админ пропусти)
Не анон",2019-12-31 07:25:00,"['VK-1603736028819866', 'VK-13597060955', 'VK-37841907454']"
"Итак, здравствуйте.

Админу желаю добра и здоровья.

Мне 16 лет (скоро 17).
Увлекаюсь большим количеством всемозможных занятий(нет).

(Это именно то, что я чувствую на данный момент).
На самом деле. Мне просто нужен человек. В последнее время то ли со мной что-то идет не так, то ли... (Помогите мне в себе разобраться.) Как бы сказать, я понимаю что я достаточно сильная личность, которая на многое способна. Но такими темпами я могу сломаться. 

А теперь, я постараюсь описать себя наиболее объективно. 
Я люблю жить.
Хочу наслаждаться ею. Планирую испробовать кучу всяких вещей(для кого-то -  безумств). Считаю, что человек должен стремиться к идеалу. Я понимаю, что нам его не достичь, но быть лучше/добрее, чем был неделю назад может каждый. 
Хочу завести себе много друзей (знакомых). (И в принципе, они начали появляться). Ведь круто иметь интересных людей, с которыми ты можешь поговорить на различные темы.      В какой то мере это даже выгодно для обеих сторон, неправда ли?

Иии конечно. Среди вещей, которые я желаю испытать есть и любовь. Понятия не имею, когда я встречу ее настоящей, может в предстоящем году, а может и в 35. 
......

(Ни о чем не хочу сожалеть.)

Если пост хоть чем то тебе понравился - пиши. О себе поведать можешь только ты сам. 

Воот.)
Что же, спасибо всем кто дочитал до конца, пусть у вас все будет замечательно!)) и насыщенного Года.

Может сложиться впечатление, что я слегка не из мира сего. Но что поделаешь..?)

Анонимно пожалуйста.",2019-12-31 07:21:00,"['VK-1603736028819866', 'VK-51399158795', 'VK-27085679953']"
"Не анон.

Мне 18 лет (выгляжу на 14).

Я симпатичный,пунктуальный,с чувством юмора,разбираюсь в технике,играх,спорте,сериалах,аниме,фильмах и отчасти в книгах,абсолютный профан по части музыки.

Ишу подругу/девушку для общения и прогулок,желательно милую и которая разбиралась хотя бы в одном из вышеперечисленных пунктов.Если ты мне понравишься в будущем есть возможность гулять за мой счёт :3",2019-12-31 06:25:00,"['VK-1603736028819866', 'VK-25086291271', 'VK-38911069588']"
"Анон
Пишу в первые
Хочу найти девушку для общения а потом посморим 
Обо мне 
15
Рост примерно 162-5
Казах
 а остальное в лс)",2019-12-31 05:25:00,"['VK-1603736028819866', 'VK-86473171805', 'VK-19586502840']"
"Анонимно.
Минутку вашего внимания уважаемые.

В эту минуту, час и день я оказался тут не с проста. Наверное я, как и все ищу подругу с похожими интересами, а может и девушку.

У каждого из нас девушки вызывают разные ассоциации. В моем понимании девушка это не просто человек с которым можно целоваться день на пролёт. Ей ты можешь рассказать самые сокровенные тайны ибо никакой парень не обсуждает это с родителями или друзьями. Ты можешь звонить ей когда у тебя радость или грусть. Она выслушает и даст какие-нибудь советы или приедет и просто обнимет тебя.Вы с ней будете обсуждать все от Тайны Бермудского Треугольника до того что бы ей одеть завтра на встречу с тобой.

Многие люди говорят что красота это не главное, главное что находится внутри. Да я частично соглашусь с этим мнением. Но все равно люди смотрят на внешность.

Если рассказывать про себя, то я приятной внешности. Мой глаза чайного цвета. Волосы коричневые. Я довольно высокий, кажется, 183 см.

Да забыл мне 17 лет и я казах 

У меня практически нет критерий к девушкам кроме одного. Главное чтобы ты была старше 15 лет. Рост, вес, национальность, размер твоей ноги не важен.

Надеюсь я изложил свой мысли. Ставь ""❤"" и я напишу тебе.",2019-12-31 04:25:00,"['VK-1603736028819866', 'VK-99892503685', 'VK-33402792982']"
"АНОН
Я ищю друга/парня
Мне:#You13_14
Казашка
Рост 159-162
Музыка 🎹
Всегда поддержу
Добрая, милая (так говорят) ✌️
Astana English School❤️
Правый 
О тебе;
Казах
Возраст 14_15
Не пофигис
Правый/левый 
Maybe тоже музыкант 
😊💕✌️
Анон. Ставь + я отвечу 😸👌",2019-12-31 03:40:00,"['VK-1603736028819866', 'VK-95279072114', 'VK-59476696117']"
"Анонимно:)
Я девушка💁🏻‍♀️Мне 15
Ищу больше друга,а не парня 
О себе:играю на домбыре,учусь в 10 классе,живу на правом,очень люблю шутииить и вообще веселиться,но также люблю грустные фильмы(особенно романтику)крашу людей,и читаю различные книги:)
О тебе:Возраст от 15 до 17
Ориентация, нация,внешность не имеет никакого значения для общения с тобой.Просто напиши + в коммент и я свяжусь с тобой)
(В ожидании)",2019-12-31 03:27:00,"['VK-1603736028819866', 'VK-89207750655', 'VK-96360887757']"
"анон
привет
это уже не первая анкета, но все равно я не смог найти себе соулмейта. 
я девочка, но частенько говорю о себе муж.роде. 
чувствую себя немного одиноко, но единственные, ради кого я не падаю духом это－мои друзья. не хочешь стать одним из них? 
нет, я уверен, что твое место будет особым, т.к. каждый мой друг занимает мое особое сердечко в моей жизни. 
я достаточно общительный, но иногда кажется, что моя душа стала проходным двором для некоторых мудаков.
у меня нет хобби, любимого дела и свободного время для себя самой. 
я не очень много гуляю из за уроков и частности из за своих предков.
мне не важно сколько тебе, но, пожалуйста, пусть тебе будет #UoY15_18 чтобы мне было намного было комфортно поддерживать с тобой разговор. 
стань, тем кто согреет мою душу.",2019-12-31 02:25:00,"['VK-1603736028819866', 'VK-48665708525', 'VK-81500154412']"
"Анон 👨‍💼 
Мне 16 лет.
Учусь 10 классе
Говрят я добрый.
Рост 177
️О тебе - 
Ищу подругу 14-18 лет),а дальше как пойдёт. Возможно и компашку.
Главное что бы весело было.
Добрая,На внешность не особо уж смотрю, неравно душная,что бы понимала.
Пиши +",2019-12-31 01:30:00,"['VK-1603736028819866', 'VK-95679257950', 'VK-61603180778']"
"Анонимно,спасибо)
Ищу компашку для общения и прогулок)
Обо мне:
Милая
Могу поддерживать в трудное время
14 лет
Общительная
Рост:165
Люблю читать и готовить блюда
Учусь в 8 классе
Говорят красивая,но не знаю
Казашка
О вас: 
Общительные
Желательно 14-16 лет
На рост и внешность не смотрю
Желательно чтобы владели и русским, и казахским языком
И чтобы любили обнимашки
Это все)
Ставьте ""+"" сама напишу)",2019-12-30 14:25:00,"['VK-1603736028819866', 'VK-51008014596', 'VK-70866905528']"
"Привет 
Ищу челиков с 60шк
Скоро перевожусь туда,не очень ходить как псих одиночка так что хочу познакомиться пораньше   
Учусь 10 классе 
Как быыыыыыы девочка стеснительная по началу 
Хз чё еще сказать 
Просто коменты кидайте я напишу
АНОН",2019-12-30 13:25:00,"['VK-1603736028819866', 'VK-22061572310', 'VK-49691982478']"
